N,Model,Price,Ram,CPU,Graphic,Storage
980,Dell,"$1,299.00 ",12GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
981,Toshiba,"$1,195.00 ",4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,128GB SSD
982,Lenovo,$549.00 ,6GB,AMD A12-Series 9720P 3.6GHz,AMD Radeon 530,256GB SSD
983,Fujitsu,$649.00 ,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
984,Toshiba,$915.00 ,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
985,Dell,$599.00 ,4GB,Intel Core i5 7200U 2.5GHz,AMD Radeon R5 M430,500GB HDD
986,HP,$806.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
987,Lenovo,"$1,189.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD
988,Dell,$749.00 ,8GB,Intel Core i7 7500U 2.7GHz,AMD Radeon R7 M445,1TB HDD
989,Dell,"$1,119.00 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620 ,128GB SSD
990,HP,"$1,908.00 ",8GB,Intel Core M 6Y75 1.2GHz,Intel HD Graphics 515,512GB SSD
991,HP,$499.00 ,4GB,Intel Core i3 6006U 2GHz,AMD Radeon 520,128GB SSD +  1TB HDD
992,Lenovo,$270.62 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,128GB SSD
993,Lenovo,"$1,349.00 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
994,Dell,$889.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
995,Asus,"$1,150.00 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
996,HP,"$1,349.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
997,Acer,$380.00 ,4GB,Intel Pentium Quad Core N4200 1.1GHz,Intel HD Graphics 505,500GB HDD
998,Asus,"$1,799.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,256GB SSD +  1TB HDD
999,HP,"$2,089.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
1000,Acer,"$1,260.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
1001,HP,"$1,189.00 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
1002,Dell,$547.00 ,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,128GB SSD
1003,HP,$779.00 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,500GB HDD
1004,Toshiba,"$1,195.00 ",4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,128GB SSD
1005,HP,"$1,099.99 ",4GB,Intel Core i5 6300U 2.4GHz,Intel HD Graphics 520,256GB SSD
1006,HP,"$1,205.00 ",4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
1007,HP,"$1,449.00 ",8GB,Intel Core i7 6600U 2.6GHz,Intel HD Graphics 520,256GB SSD
1008,HP,"$1,049.26 ",8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 930MX,256GB SSD
1009,HP,$684.00 ,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,500GB HDD
1010,Dell,$949.00 ,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,1.0TB Hybrid
1011,HP,"$1,539.00 ",4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,500GB HDD
1012,HP,"$1,590.00 ",4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
1013,HP,"$1,887.21 ",8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
1014,HP,$800.00 ,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,500GB HDD
1015,Toshiba,"$1,210.00 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
1016,HP,$769.99 ,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,256GB SSD
1017,Lenovo,"$2,968.00 ",16GB,Intel Core i7 6820HQ 2.7GHz,Nvidia Quadro 3000M,512GB SSD
1018,Toshiba,"$1,490.00 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
1019,HP,"$2,229.00 ",8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
1020,Dell,$795.99 ,4GB,Intel Core i3 6100U 2.3GHz,Intel HD Graphics 520,1TB HDD
1021,Toshiba,"$1,590.00 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
1022,HP,"$1,149.00 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
1023,HP,"$1,185.43 ",8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 930MX,256GB SSD
1024,Dell,"$1,046.44 ",8GB,Intel Core i5 6300U 2.4GHz,Intel HD Graphics 520,500GB HDD
1025,HP,"$1,559.00 ",4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
1026,HP,"$1,189.00 ",4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,500GB HDD
1027,HP,"$1,060.00 ",4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,500GB HDD
1028,Dell,"$1,624.00 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
1029,HP,"$1,080.00 ",8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 930MX,256GB SSD
1030,HP,$973.00 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
1031,Acer,$409.00 ,6GB,AMD A9-Series 9420 3GHz,AMD Radeon R5,1TB HDD
1032,MSI,"$1,191.80 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
1033,HP,"$1,195.00 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
1034,HP,"$1,228.99 ",8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
1035,HP,"$1,349.00 ",8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
1036,HP,$742.00 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,500GB HDD
1037,Toshiba,"$1,725.00 ",8GB,Intel Core i7 6600U 2.6GHz,Intel HD Graphics 520,256GB SSD
1038,Dell,"$1,062.95 ",8GB,Intel Core i5 6300U 2.4GHz,Intel HD Graphics 520,256GB SSD
1039,HP,"$1,010.51 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
1040,Lenovo,$847.00 ,4GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
1041,Vero,$210.80 ,2GB,Intel Atom X5-Z8350 1.44GHz,Intel HD Graphics 400,32GB Flash Storage
1042,Toshiba,"$1,425.00 ",16GB,Intel Core i7 6500U 2.5GHz,Nvidia GeForce 930M,256GB SSD
1043,Lenovo,"$1,049.60 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
1044,HP,"$1,000.00 ",4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
1045,HP,"$2,103.34 ",8GB,Intel Core i5 6300U 2.4GHz,Intel HD Graphics 520,256GB SSD +  500GB HDD
1046,HP,"$1,469.00 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
1047,MSI,"$1,545.64 ",16GB,Intel Core i7 6820HK 2.7GHz,Nvidia GeForce GTX 980M,256GB SSD +  1TB HDD
1048,Lenovo,"$2,289.99 ",16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 980M,128GB SSD +  1TB HDD
1049,Asus,$287.90 ,4GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,16GB Flash Storage
1050,Lenovo,"$2,620.00 ",16GB,Intel Core i7 6600U 2.6GHz,Intel HD Graphics 520,256GB SSD
1051,HP,$979.00 ,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,1TB HDD
1052,Dell,"$1,094.00 ",8GB,Intel Core i5 7200U 2.7GHz,Intel HD Graphics 620,256GB SSD
1053,HP,$979.00 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
1054,Dell,"$2,254.00 ",16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,1TB SSD
1055,HP,$705.15 ,4GB,Intel Core i3 6100U 2.3GHz,Intel HD Graphics 520,500GB HDD
1056,HP,$499.00 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,500GB HDD
1057,Acer,$449.00 ,8GB,AMD A8-Series 7410 2.2GHz,AMD Radeon R5,1TB HDD
1058,Dell,"$1,299.00 ",12GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
1059,MSI,"$1,819.00 ",16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
1060,HP,"$1,070.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
1061,Asus,$998.00 ,16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 965M,1TB HDD
1062,Dell,$559.00 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics,1TB HDD
1063,Dell,$989.99 ,16GB,Intel Core i7 7500U 2.7GHz,AMD Radeon R7 M445,2TB HDD
1064,MSI,"$1,929.00 ",16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
1065,Dell,"$1,458.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
1066,Asus,"$3,975.00 ",64GB,Intel Core i7 6820HK 2.7GHz,Nvidia GeForce GTX 980 ,1TB SSD
1067,Dell,$798.01 ,8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
1068,Dell,"$1,329.00 ",16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 970M,256GB SSD +  1TB HDD
1069,Apple,"$1,300.00 ",8GB,Intel Core M 1.1GHz,Intel HD Graphics 515,256GB Flash Storage
1070,Dell,$481.98 ,4GB,Intel Core i3 6100U 2.3GHz,Intel HD Graphics 520,500GB HDD
1071,HP,"$1,199.00 ",4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
1072,HP,"$1,199.00 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
1073,HP,"$1,090.00 ",8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
1074,Lenovo,"$1,713.49 ",8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
1075,Lenovo,$659.00 ,8GB,Intel Core i5 6200U 2.3GHz,AMD Radeon R5 M330,1.0TB HDD
1076,Lenovo,$977.00 ,4GB,Intel Core i5 6300HQ 2.3GHz,Nvidia GeForce GTX 950M,1TB HDD
1077,MSI,"$2,499.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
1078,Lenovo,$540.00 ,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
1079,HP,$940.00 ,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
1080,Lenovo,"$1,399.00 ",8GB,Intel Core M 6Y75 1.2GHz,Intel HD Graphics 515,512GB SSD
1081,Lenovo,"$3,240.00 ",32GB,Intel Core i7 6820HK 2.7GHz,Nvidia GeForce GTX 980M,512GB SSD +  1.0TB Hybrid
1082,Lenovo,$646.27 ,4GB,Intel Atom x5-Z8550 1.44GHz,Intel HD Graphics 400,64GB Flash Storage
1083,HP,"$2,049.00 ",16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
1084,Dell,$750.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
1085,HP,"$1,030.99 ",4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
1086,HP,"$1,495.00 ",8GB,Intel Core i7 6500U 2.5GHz,AMD FirePro W4190M,256GB SSD
1087,Lenovo,"$1,199.00 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,180GB SSD
1088,HP,$615.00 ,4GB,Intel Pentium Dual Core 4405Y 1.5GHz,Intel HD Graphics 515,32GB Flash Storage
1089,Acer,$387.00 ,4GB,AMD A8-Series 7410 2.2GHz,AMD Radeon R5,500GB HDD
1090,Dell,$393.49 ,4GB,Intel Pentium Quad Core N3700 1.6GHz,Intel HD Graphics,500GB HDD
1091,HP,$345.99 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,1TB HDD
1092,Asus,"$1,599.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
1093,Dell,$818.35 ,4GB,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,256GB SSD
1094,HP,"$1,599.00 ",4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,128GB SSD
1095,Acer,$799.00 ,8GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce GTX 950M,256GB SSD +  1TB HDD
1096,Dell,$638.80 ,8GB,Intel Core i5 7200U 2.5GHz,AMD Radeon R7 M445,1TB HDD
1097,MSI,"$1,599.00 ",8GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 965M,256GB SSD
1098,HP,$500.00 ,4GB,Intel Pentium Quad Core N3710 1.6GHz,Intel HD Graphics 405,1TB HDD
1099,Asus,"$2,299.00 ",16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 980M,128GB SSD +  1TB HDD
1100,Dell,"$1,135.15 ",4GB,Intel Core i3 6100U 2.3GHz,Intel HD Graphics 520,500GB HDD
1101,Dell,"$1,166.97 ",4GB,Intel Core i3 6100U 2.3GHz,Intel HD Graphics 520,128GB SSD
1102,Acer,$209.00 ,4GB,Intel Celeron Dual Core 3205U 1.5GHz,Intel HD Graphics,16GB SSD
1103,HP,"$2,899.00 ",8GB,Intel Core i7 6700HQ 2.6GHz,AMD FirePro W6150M,1TB HDD
1104,Lenovo,"$1,199.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,512GB SSD
1105,Dell,"$1,413.10 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
1106,MSI,"$1,511.19 ",8GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 960M,128GB SSD +  1TB HDD
1107,Lenovo,$867.00 ,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
1108,HP,$398.00 ,4GB,AMD A6-Series 9220 2.5GHz,AMD Radeon R4,1TB HDD
1109,Asus,"$1,339.00 ",16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 960M,128GB SSD +  1TB HDD
1110,HP,"$1,699.00 ",8GB,Intel Core M 6Y54 1.1GHz,Intel HD Graphics 515,256GB SSD
1111,Dell,$769.15 ,4GB,Intel Core i5 6200U 2.3GHz,AMD Radeon R5 M315,500GB HDD
1112,Lenovo,$429.00 ,4GB,Intel Core i3 6006U 2.0GHz,Intel HD Graphics 520,128GB SSD
1113,HP,"$1,969.00 ",8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,512GB SSD
1114,Lenovo,$549.00 ,4GB,Intel Atom x5-Z8550 1.44GHz,Intel HD Graphics 400,64GB Flash Storage
1115,Dell,"$1,379.00 ",8GB,Intel Core i7 7560U 2.4GHz,Intel Iris Plus Graphics 640,256GB SSD
1116,Lenovo,"$2,749.99 ",16GB,Intel Core i7 6820HK 2.7GHz,Nvidia GeForce GTX 980M,256GB SSD +  1.0TB Hybrid
1117,Razer,"$1,029.00 ",8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
1118,Toshiba,"$2,226.00 ",16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
1119,Asus,"$1,312.49 ",8GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 960M,128GB SSD +  1TB HDD
1120,Vero,$196.00 ,4GB,Intel Atom X5-Z8350 1.44GHz,Intel HD Graphics 400,32GB Flash Storage
1121,HP,"$1,690.00 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
1122,HP,"$1,513.00 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
1123,Dell,$523.63 ,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
1124,Asus,$435.00 ,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,1TB HDD
1125,Lenovo,"$1,669.00 ",8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
1126,Lenovo,$479.00 ,4GB,Intel Atom x5-Z8550 1.44GHz,Intel HD Graphics 400,64GB Flash Storage
1127,HP,"$1,895.00 ",8GB,Intel Core i5 6300U 2.4GHz,Intel HD Graphics 520,256GB SSD
1128,Lenovo,$989.00 ,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD
1129,HP,"$1,129.00 ",8GB,Intel Core i5 6300HQ 2.3GHz,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD
1130,HP,$629.00 ,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,2TB HDD
1131,Lenovo,"$2,050.38 ",8GB,Intel Core i7 6600U 2.6GHz,Nvidia Quadro M500M,512GB SSD
1132,Asus,$278.00 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,32GB Flash Storage
1133,HP,$752.00 ,8GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,256GB SSD
1134,Acer,$616.00 ,4GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,1TB HDD
1135,Lenovo,"$1,099.00 ",16GB,Intel Core i7 6500U 2.5GHz,AMD Radeon R7 M360,1.0TB Hybrid
1136,HP,"$3,949.40 ",8GB,Intel Core i7 6700HQ 2.6GHz,Nvidia Quadro M3000M,256GB SSD
1137,Dell,$784.00 ,8GB,Intel Core i5 7200U 2.5GHz,AMD Radeon R7 M445,1TB HDD
1138,MSI,"$2,399.00 ",16GB,Intel Core i7 6820HQ 2.7GHz,Nvidia GeForce GTX 980M,256GB SSD +  1TB HDD
1139,HP,"$2,171.72 ",8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
1140,Lenovo,"$2,440.00 ",16GB,Intel Core i7 6600U 2.6GHz,Intel HD Graphics 520,512GB SSD
1141,MSI,"$1,142.80 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
1142,HP,"$1,629.00 ",8GB,Intel Core i5 6300U 2.4GHz,Intel HD Graphics 520,256GB SSD
1143,HP,"$2,229.00 ",8GB,Intel Core i7 6700HQ 2.6GHz,Nvidia Quadro M1000M,256GB SSD
1144,HP,"$1,799.00 ",8GB,Intel Core i7 6600U 2.6GHz,Intel HD Graphics 520,256GB SSD
1145,HP,"$1,899.00 ",8GB,Intel Core i7 6700HQ 2.6GHz,Nvidia Quadro M1000M,256GB SSD
1146,HP,"$2,296.95 ",8GB,Intel Core i7 6500U 2.50GHz,Intel HD Graphics 520,256GB SSD
1147,Dell,"$1,009.90 ",8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,256GB SSD
1148,HP,"$1,579.00 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
1149,Lenovo,"$2,339.00 ",8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
1150,Lenovo,$339.00 ,4GB,Intel Core i3 6006U 2.0GHz,Intel HD Graphics 520,1TB HDD
1151,HP,$297.00 ,4GB,AMD E-Series 7110 1.8GHz,AMD Radeon R2 Graphics,500GB HDD
1152,Lenovo,$599.00 ,8GB,Intel Core i5 6200U 2.3GHz,AMD Radeon R5 M330,1TB HDD
1153,Dell,"$1,199.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050Ti,1TB HDD
1154,Dell,"$2,250.68 ",8GB,Intel Core i5 6300HQ 2.3GHz,Nvidia GeForce 960M,256GB SSD
1155,HP,$478.89 ,4GB,AMD A6-Series A6-9220 2.5GHz,AMD Radeon 520,256GB SSD
1156,MSI,"$1,492.80 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,256GB SSD +  1TB HDD
1157,Lenovo,"$2,299.00 ",12GB,Intel Core i7 6600U 2.6GHz,Intel HD Graphics 520,512GB SSD
1158,Lenovo,$788.49 ,8GB,Intel Core i5 6200U 2.3GHz,AMD Radeon R5 M330,1.0TB Hybrid
1159,HP,"$2,041.00 ",8GB,Intel Core i7 6600U 2.6GHz,Intel HD Graphics 520,512GB SSD
1160,Lenovo,"$1,499.00 ",8GB,Intel Core i7 6600U 2.6GHz,Intel HD Graphics 520,256GB SSD
1161,MSI,"$1,769.00 ",16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 970M,256GB SSD +  1TB HDD
1162,HP,$899.00 ,8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,1TB HDD
1163,Lenovo,$459.00 ,8GB,Intel Core i3 6006U 2.0GHz,Intel HD Graphics 520,1TB HDD
1164,HP,$476.99 ,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
1165,Dell,"$1,498.00 ",8GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050 Ti,128GB SSD +  1TB HDD
1166,Lenovo,"$1,390.00 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
1167,Lenovo,$468.00 ,4GB,Intel Core i3 6006U 2GHz,Nvidia GeForce 920MX ,1TB HDD
1168,HP,$249.00 ,2GB,Intel Celeron Dual Core N3060 1.6GHz,Intel HD Graphics 400,32GB Flash Storage
1169,MSI,$839.00 ,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce GTX 1050,1TB HDD
1170,HP,$679.00 ,8GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,256GB SSD
1171,HP,"$1,159.00 ",16GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD
1172,Asus,$369.00 ,4GB,Intel Celeron Dual Core N3050 1.6GHz,Intel HD Graphics,500GB HDD
1173,Lenovo,$398.00 ,4GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,500GB HDD
1174,Lenovo,$709.00 ,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 940MX,1TB HDD
1175,Asus,$769.00 ,4GB,Intel Core i3 7100U 2.4GHz,Intel HD Graphics 620,256GB SSD
1176,Lenovo,$825.00 ,4GB,Intel Core i7 6500U 2.5GHz,Intel HD Graphics 520,1.0TB Hybrid
1177,Lenovo,"$1,305.00 ",16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 960,512GB SSD
1178,MSI,"$2,153.37 ",16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 970M,128GB SSD +  1TB HDD
1179,HP,$650.00 ,4GB,Intel Core i3 6100U 2.3GHz,Intel HD Graphics 520,500GB HDD
1180,Lenovo,"$1,637.00 ",8GB,Intel Core i5 6200U 2.3GHz,Intel HD Graphics 520,256GB SSD
1181,Lenovo,$831.00 ,6GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce 920M,256GB SSD
1182,Dell,$895.01 ,8GB,Intel Core i7 7500U 2.7GHz,Nvidia GeForce GT 940MX,256GB SSD
1183,Acer,$333.00 ,4GB,Intel Celeron Dual Core N3350 2GHz,Intel HD Graphics 500,500GB HDD
1184,HP,$799.00 ,6GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 960M,1TB HDD
1185,Asus,$909.00 ,8GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 960M,256GB SSD +  1TB HDD
1186,Dell,"$1,179.00 ",16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
1187,Acer,$691.00 ,4GB,Intel Core i5 7200U 2.5GHz,Nvidia GeForce 940MX,256GB SSD
1188,Dell,"$1,099.00 ",8GB,Intel Core i5 6300U 2.4GHz,Intel HD Graphics 520,256GB SSD
1189,Acer,"$2,599.00 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
1190,Lenovo,$819.00 ,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,1TB HDD
1191,Samsung,$659.00 ,4GB,Samsung Cortex A72&A53 2.0GHz,ARM Mali T860 MP4,32GB Flash Storage
1192,HP,$485.00 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,500GB HDD
1193,Apple,"$1,163.00 ",8GB,Intel Core M 1.1GHz,Intel HD Graphics 5300,256GB Flash Storage
1194,Dell,"$1,199.00 ",8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
1195,HP,"$1,327.00 ",12GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
1196,Lenovo,$368.00 ,4GB,Intel Core i3 6006U 2GHz,AMD Radeon R5 M430,1TB HDD
1197,Asus,"$2,150.00 ",16GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 980M,512GB SSD +  1TB HDD
1198,Acer,$272.00 ,4GB,Intel Celeron Dual Core N3350 2GHz,Intel HD Graphics 500,1TB HDD
1199,MSI,"$2,048.90 ",16GB,Intel Core i7 7700HQ 2.8GHz,Nvidia GeForce GTX 1060,256GB SSD +  1TB HDD
1200,Dell,$499.00 ,4GB,Intel Core i3 6006U 2.0GHz,AMD Radeon R7 M440,128GB SSD
1201,Lenovo,$629.00 ,8GB,Intel Core i7 6500U 2.5GHz,Nvidia GeForce 920MX,500GB HDD
1202,Dell,"$1,285.00 ",16GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD
1203,Dell,"$2,680.00 ",16GB,Intel Core i7 7500U 2.7GHz,Intel HD Graphics 620,512GB SSD
1204,Asus,"$1,169.00 ",8GB,Intel Core i7 6700HQ 2.6GHz,Nvidia GeForce GTX 1060,1TB HDD
1205,Dell,$889.00 ,8GB,Intel Core i5 7200U 2.5GHz,AMD Radeon R7 M445,256GB SSD
1206,HP,$579.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
1207,Lenovo,$299.00 ,4GB,AMD E-Series 9000 2.2GHz,AMD Radeon R2 Graphics,500GB HDD
1208,Acer,$629.00 ,8GB,Intel Core i3 6006U 2.0GHz,Nvidia GeForce 940MX,1TB HDD
