,title,author,price
363,Within You is the Power : Unleash the Miracle Power Inside You with Success Secrets from Around the World!,Joseph Murphy,9.5
364,"Without You, There Is No Us: My Time with the Sons of North Korea’s Elite",Suki Kim,5.0
365,"Women After All: Sex, Evolution, and the End of Male Supremacy",Melvin Konner,
366,Women from the Ankle Down : The Story of Shoes and How They Define Us,Rachelle Bergstein,8.0
367,Women Who Think Too Much : How to Break Free of Overthinking and Reclaim Your Life,Susan Nolen-Hoeksema,10.0
368,Write to the Point : A Master Class on the Fundamentals of Writing for Any Purpose,Sam Leith,10.5
369,Writing Tools : 55 Essential Strategies for Every Writer,Roy Peter Clark,11.0
370,WTF?: What’s the Future and Why It’s Up to Us,Tim O'Reilly,10.0
371,You Can Retire Early! : Everything You Need to Achieve Financial Independence When You Want It,Deacon Hayes,10.0
372,"You Can Sell : Results are Rewarded, Efforts Aren’T",Shiv Khera,11.0
373,You Can Win : A Step-by-Step Tool for Top Achievers,,11.5
374,"You, Inc : The Art of Selling Yourself",Harry Beckwith,10.5
375,You’re More Powerful than You Think : A Citizen’s Guide to Making Change Happen,Eric Liu,10.5
376,Your Right to Be Rich : Napoleon Hill’s Proven Program for Prosperity and Happiness,Napoleon Hill,10.5
377,Zeroes,Chuck Wendig,8.0
